time,N,H,I,N_stoch,H_stoch,I_stoch
0.0,1.0,0.5,0.2,1.0,0.5,0.2
0.1,1.1000000000000008,0.547267440257108,0.21758253847367007,1.1019272000279585,0.545,0.21680000000000002
0.2,1.2000000000000006,0.5990396401263023,0.2368298800273472,1.1953497630157697,0.5946463600013979,0.23511298880000003
0.30000000000000004,1.3000000000000003,0.6552717809933439,0.25788755931613744,1.3000960331188607,0.6484673845521725,0.2550957577805436
0.4,1.4000000000000004,0.715919485887515,0.2808957604334784,1.4060446867000338,0.7069875123625937,0.27688264756773423
0.5,1.5000000000000002,0.7809388190015892,0.30598919290564125,1.4937052567174691,0.7702198715739694,0.30062558834610137
0.6000000000000001,1.6000000000000003,0.8502862823725355,0.33329697779029005,1.5854695503893097,0.8372029356941032,0.32647312066202644
0.7000000000000001,1.7000000000000002,0.9239188100643622,0.3629424611872678,1.6862780840913154,0.9081043838566276,0.35453121778728613
0.8,1.8000000000000003,1.0017937649308095,0.3950430739921115,1.784277990321392,0.9833372442226271,0.3849089629528133
0.9,1.9000000000000004,1.0838689341422718,0.4297101484424321,1.8841717304713104,1.0627177712964704,0.41772804372861916
1.0,2.0,1.1701025249000565,0.4670487099640934,1.978776606960694,1.1462991801070712,0.453098350331962
1.1,2.1,1.26045316022144,0.507157269304525,2.0843384081013063,1.2337750186540353,0.4911273517058977
1.2000000000000002,2.2,1.3548798748228221,0.5501276013406778,2.1892575962246386,1.3256541888725601,0.5319054117985025
1.3,2.3,1.4533421110412634,0.5960445074890378,2.289675211024205,1.4218605267950664,0.5755383813409247
1.4000000000000001,2.4,1.5557997147702032,0.6449855817266097,2.396804510397038,1.522125682078326,0.6221235045506308
1.5,2.5,1.6622129314245704,0.6970209685567246,2.499761299094885,1.6267446507773946,0.6717414909909326
1.6,2.5999999999999996,1.7725424019925888,0.75221312343759,2.594326656377032,1.7354652692243648,0.7244789715035708
1.7000000000000002,2.7,1.8867491591216157,0.810616559279675,2.6966588411103793,1.8478269493509727,0.7804060487992375
1.8,2.8,2.0047946231545297,0.872277646649202,2.790594335055728,1.964181621912982,0.8395678680362756
1.9000000000000001,2.9000000000000004,2.1266405983248964,0.9372343686507855,2.8961501425825125,2.0840695224466383,0.9020172438670558
2.0,3.0,2.2522492689106683,1.005516140730253,2.995834383396562,2.2080363343512976,0.967781590565748
2.1,3.1,2.38158319546742,1.0771436117428204,3.0946652111516717,2.335747690177613,1.036903314046124
2.2,3.2,2.5146053110783706,1.1521285221102335,3.1903586345788373,2.4671234738334205,1.1094038295291373
2.3000000000000003,3.3000000000000003,2.6512789176494382,1.230473566051845,3.2980906649066797,2.601970170824028,1.1852938267546675
