t,N,H,I
0,0,0,0
0.01000100010001,0.00656009769868076,0.00107745546080651,-0.00296801133287617
0.02000200020002,0.0172140337199549,0.00112529571574645,-0.00487897361040738
0.03000300030003,0.0270815438722668,0.00204958896886018,-0.00588916305894803
0.04000400040004,0.0361094374322856,5.05900944187797e-05,-0.00521752225925591
0.05000500050005,0.045293660819847,0.000811746396556221,-0.00692717136839172
0.06000600060006,0.0577040538710364,0.00166706125121644,-0.00653393966473026
0.07000700070007,0.0703374756338871,0.00299577915704645,-0.00626607784998222
0.08000800080008,0.0822930646275682,0.00367078064695662,-0.0054228219090361
0.09000900090009,0.0944430201400282,0.0067051805429545,-0.00571564182254807
0.1000100010001,0.10726093649453,0.00344238687526026,-0.00718197427051927
0.11001100110011,0.118404594864982,0.00520653359740927,-0.00670041013522127
0.12001200120012,0.13270370620214,0.00864949565519801,-0.00712201769377876
0.13001300130013,0.146287321204723,0.00933653193074908,-0.00717718676621509
0.14001400140014,0.153704628127683,0.00661554306796381,-0.00863622358386477
0.15001500150015,0.162977988136211,0.0108334425925857,-0.00647882284111112
0.16001600160016,0.172487449132302,0.00905696389660651,-0.00825963751512305
0.17001700170017,0.184875457737265,0.0130425906668738,-0.00888947507634285
0.18001800180018,0.195286132981177,0.0138262165150816,-0.00736874089439959
0.19001900190019,0.207166610671705,0.0144795880160154,-0.00895705873113879
0.2000200020002,0.218920669875363,0.0150626609806874,-0.00694137683338788
0.21002100210021,0.229344886584963,0.0163212782460702,-0.00664718441434721
0.22002200220022,0.239038435478811,0.0195471841224866,-0.00763320900719947
0.23002300230023,0.248296968617335,0.0219936073266706,-0.0103682763189191
0.24002400240024,0.258903989197511,0.0223105443637606,-0.0126401130929595
0.25002500250025,0.269134545933104,0.0244246073766547,-0.0116985505438734
0.26002600260026,0.281820860712526,0.0264484321010199,-0.0122392104039548
0.27002700270027,0.291110681463227,0.027422600977156,-0.0102681522279341
0.28002800280028,0.300907908319687,0.0281622708779976,-0.00880749462517351
0.29002900290029,0.312476487186327,0.0262643887069283,-0.0101806318729699
0.3000300030003,0.323923101200897,0.0289078514003148,-0.0096371413436223
0.31003100310031,0.333143073127123,0.0306259810802369,-0.0125566773208798
0.32003200320032,0.341532057923951,0.0334727512650397,-0.00910270276425303
0.33003300330033,0.352877933054629,0.0357705315520302,-0.0115672328943368
0.34003400340034,0.361420491023658,0.0390268111169757,-0.00928864257742939
0.35003500350035,0.371763093803215,0.0424309136087002,-0.0131574114989002
0.36003600360036,0.381272180558249,0.0428586024729618,-0.0127917803392713
0.37003700370037,0.393167505329763,0.0440955291362647,-0.0151780562729314
0.38003800380038,0.401012845285217,0.0457640872251959,-0.0156257971835324
0.39003900390039,0.409801933254461,0.0506228899359493,-0.0126181936208436
0.4000400040004,0.415997383160431,0.0537264332058152,-0.0149088767516127
0.41004100410041,0.424188631348401,0.0562759483707203,-0.00944682537813232
0.42004200420042,0.433676766133949,0.0573239361449641,-0.0106000195711868
0.43004300430043,0.444293185474298,0.0588750752436343,-0.0119420979060475
0.44004400440044,0.454292406508646,0.0638314555640372,-0.0130317435259701
0.45004500450045,0.463338437311195,0.0633018218952842,-0.0158107716871222
0.46004600460046,0.474006654831905,0.0671359581065226,-0.0172234550768798
0.47004700470047,0.48586525702484,0.0665843570011999,-0.0146015041755493
0.48004800480048,0.498534327294171,0.0684541684169763,-0.016105656870983
0.49004900490049,0.50956895490517,0.0702940739726581,-0.0149670108560034
0.5000500050005,0.517889718073936,0.0749950823246231,-0.0161955605963986
0.51005100510051,0.528499563390889,0.0810796680984415,-0.0169781976938227
0.52005200520052,0.539067904738224,0.0886586657317728,-0.0164407941283718
0.53005300530053,0.550003745784366,0.0920483017952227,-0.0178753661866611
0.54005400540054,0.559811513204954,0.0954172207942987,-0.0193019207736379
0.55005500550055,0.568271503206329,0.0996078344884273,-0.0220091851589587
0.56005600560056,0.5758760139308,0.104616032530769,-0.0232571355102596
0.57005700570057,0.584909723602878,0.107839256733625,-0.0219169042279332
0.58005800580058,0.597524380742262,0.109280241378778,-0.0206738876323861
0.59005900590059,0.609062744009895,0.112047787559107,-0.0189252635969337
0.6000600060006,0.617760367302628,0.117174515254473,-0.022232404679097
0.61006100610061,0.628986305139638,0.121151966985629,-0.02060141013319
0.62006200620062,0.637937320619915,0.121491394429157,-0.0221852364459635
0.63006300630063,0.64545840985431,0.125234741636636,-0.0200172243044842
0.64006400640064,0.656574265169577,0.126126227643997,-0.0184237051160028
0.65006500650065,0.667247073081822,0.128366801230695,-0.0175286529316697
0.66006600660066,0.675242124309206,0.132162345426627,-0.0157772900433974
0.67006700670067,0.684582008779508,0.136135347920955,-0.0146573336860943
0.68006800680068,0.694440815466237,0.1417949667481,-0.0115556380373199
0.69006900690069,0.701666129503058,0.144817166572682,-0.00996728380094699
0.7000700070007,0.709869913192232,0.145766011360058,-0.0138282173951519
0.71007100710071,0.720241138602995,0.153090089779243,-0.0119094680763628
0.72007200720072,0.733239331930635,0.156875905534489,-0.00710657367561789
0.73007300730073,0.743199652632122,0.164401072304482,-0.00537115069187191
0.74007400740074,0.750244458950372,0.167594467514627,-0.0032165955735746
0.75007500750075,0.758311067210644,0.173134408780902,-0.00336256881937835
0.76007600760076,0.766877337493839,0.177473847232765,0.000696991146535804
0.77007700770077,0.775266936976612,0.180934905409696,-0.000149962956290172
0.78007800780078,0.784920143361308,0.183432590043239,0.00169640419931321
0.79007900790079,0.794662081832541,0.187063730242621,0.000572272566907199
0.8000800080008,0.803765183871838,0.192256273565256,0.00335546502467197
0.81008100810081,0.812667470466018,0.195641599603465,0.00845469554111683
0.82008200820082,0.824167100589261,0.195184279727235,0.00993222188298945
0.83008300830083,0.833598332346714,0.196838356883487,0.0113817849968284
0.84008400840084,0.844434752456699,0.20053154300092,0.0146604531551082
0.85008500850085,0.853121148728106,0.206220175672818,0.0130462447470247
0.86008600860086,0.861289817730195,0.209612688902416,0.0158418855602958
0.87008700870087,0.871986507377542,0.213110478550436,0.0139894050310426
0.88008800880088,0.883918632317234,0.219728047097264,0.0159703042040211
0.89008900890089,0.894514943756752,0.222499323030695,0.017698700856025
0.9000900090009,0.901534799569825,0.225883973750785,0.0190928821722158
0.91009100910091,0.909864163394482,0.232387105328213,0.0205876651550594
0.92009200920092,0.919107718594336,0.235417632739812,0.0154518322417771
