node_id,tier,body_id,nx,ny,nz,tbars,body_size,soma_side
75,T2_mushroom_body,11336,49496.0,46203.0,28891.0,2056,2923979869,L
76,T2_mushroom_body,10018,62066.0,17846.0,34629.0,3352,5062468505,L
77,T2_mushroom_body,10551,69046.0,32984.0,25014.0,4685,5453744859,L
78,T2_mushroom_body,12058,44476.0,11412.0,31038.0,1514,2136434011,R
79,T2_mushroom_body,13065,50948.0,46616.0,33058.0,1144,1788010275,L
80,T2_mushroom_body,10680,51729.0,11549.0,29245.0,1771,3419826290,L
81,T2_mushroom_body,512580,42234.0,14292.0,32355.0,2312,2857543192,R
82,T2_mushroom_body,556286,57545.0,20656.0,37420.0,3272,19242557560,L
83,T2_mushroom_body,520410,70119.0,12128.0,32775.0,1806,1868648861,L
84,T2_mushroom_body,11678,56410.0,6770.0,30900.0,2564,2791766058,L
85,T2_mushroom_body,10885,52813.0,45894.0,34356.0,1037,3958558069,L
86,T2_mushroom_body,10063,34200.0,17553.0,36204.0,2489,13417637129,R
87,T2_mushroom_body,13227,48578.0,17800.0,33121.0,1084,1584007006,R
88,T2_mushroom_body,10324,44472.0,19435.0,35654.0,1682,2886182959,R
89,T2_mushroom_body,20652,51448.0,46510.0,31606.0,1716,3584908608,L
90,T2_mushroom_body,529127,63496.0,13272.0,34014.0,1666,1631372419,L
91,T2_mushroom_body,10299,38329.0,39307.0,22026.0,7468,9766128107,R
92,T2_mushroom_body,514764,42126.0,21060.0,35425.0,1406,3324804121,R
93,T2_mushroom_body,18617,65704.0,9193.0,31681.0,1490,1524876888,L
94,T2_mushroom_body,10353,29580.0,22155.0,35748.0,5488,6545037288,R
95,T2_mushroom_body,533946,63176.0,10154.0,32357.0,2331,2144819433,L
96,T2_mushroom_body,37952,54632.0,14045.0,33813.0,1403,1530064654,L
97,T2_mushroom_body,10224,73795.0,15785.0,22604.0,5601,7428055849,L
98,T2_mushroom_body,10518,27240.0,35174.0,26968.0,4884,6585502418,R
99,T2_mushroom_body,11657,57320.0,16915.0,37658.0,2157,3386875183,L
100,T2_mushroom_body,10388,48320.0,19547.0,36063.0,1970,6614403325,R
101,T2_mushroom_body,523062,28978.0,33046.0,26924.0,3129,5430921586,R
102,T2_mushroom_body,14629,26902.0,18912.0,32890.0,1989,11078875333,R
103,T2_mushroom_body,529517,70960.0,13713.0,33375.0,1180,1423164015,L
104,T2_mushroom_body,10986,35138.0,22133.0,37951.0,2026,3946167359,R
105,T2_mushroom_body,12257,55561.0,15450.0,36070.0,2090,2645953756,L
106,T2_mushroom_body,10669,42470.0,10053.0,31426.0,2164,3518821636,R
107,T2_mushroom_body,10588,30298.0,20573.0,36212.0,2718,5280179318,R
108,T2_mushroom_body,10709,34965.0,38752.0,32125.0,2395,4784358229,R
109,T2_mushroom_body,10617,48782.0,44004.0,38604.0,3296,5081624593,L
110,T2_mushroom_body,10663,33907.0,22154.0,37032.0,4174,4392104007,R
111,T2_mushroom_body,520792,52581.0,16898.0,31863.0,2346,2974241149,L
112,T2_mushroom_body,13449,46039.0,18119.0,35342.0,1951,2536244346,R
113,T2_mushroom_body,10594,62374.0,30644.0,36974.0,1924,3091745223,L
114,T2_mushroom_body,520020,60520.0,19677.0,35794.0,1623,2581937388,L
115,T2_mushroom_body,10120,49493.0,45645.0,33613.0,3155,4283405743,L
116,T2_mushroom_body,13215,34454.0,38978.0,32406.0,1182,1723088587,R
117,T2_mushroom_body,13946,50477.0,14295.0,32876.0,1095,1457682798,L
118,T2_mushroom_body,11017,32021.0,20282.0,35919.0,3605,5125779384,R
119,T2_mushroom_body,12423,31981.0,23045.0,36218.0,2397,2142869644,R
120,T2_mushroom_body,12205,28457.0,19923.0,36154.0,2391,2323329008,R
121,T2_mushroom_body,10050,68419.0,32316.0,28010.0,9556,15455144548,L
122,T2_mushroom_body,10648,64635.0,37691.0,23619.0,3597,5771260150,L
123,T2_mushroom_body,10127,56796.0,15001.0,37761.0,2383,3743441229,L
124,T2_mushroom_body,12856,29300.0,22400.0,34750.0,1669,1892887353,R
125,T2_mushroom_body,11271,59368.0,8233.0,31245.0,1734,1394793242,L
126,T2_mushroom_body,11629,34574.0,38838.0,33172.0,1254,2804260199,R
127,T2_mushroom_body,10693,31595.0,37129.0,27855.0,2951,4853528703,R
128,T2_mushroom_body,521987,36580.0,38616.0,33002.0,1223,1176459835,R
129,T2_mushroom_body,10301,61727.0,37551.0,32121.0,765,5601205198,L
130,T2_mushroom_body,11637,71728.0,16980.0,30816.0,2154,2435234434,L
131,T2_mushroom_body,11530,28271.0,18415.0,35231.0,1562,2963941485,R
132,T2_mushroom_body,12633,31832.0,14844.0,34370.0,1408,1543916995,R
133,T2_mushroom_body,11030,72106.0,17427.0,25763.0,3335,3479199652,L
134,T2_mushroom_body,10616,47911.0,15504.0,33737.0,3051,5053489436,R
135,T2_mushroom_body,10053,31534.0,23804.0,38105.0,5124,8082613617,R
136,T2_mushroom_body,10476,25118.0,19012.0,28662.0,3129,5959834297,R
137,T2_mushroom_body,11806,63626.0,32082.0,33041.0,1686,2954523543,L
138,T2_mushroom_body,519773,47390.0,48057.0,31015.0,1722,2731195688,R
139,T2_mushroom_body,10974,34994.0,31775.0,37338.0,2931,4016691816,R
140,T2_mushroom_body,12128,49048.0,46364.0,32740.0,1805,2329325226,L
141,T2_mushroom_body,11186,55308.0,19818.0,34189.0,1168,2283483815,L
142,T2_mushroom_body,10531,25743.0,35065.0,25117.0,5572,6030360856,R
143,T2_mushroom_body,10258,23904.0,15573.0,32477.0,1822,1571946679,R
144,T2_mushroom_body,10458,49198.0,20127.0,36112.0,1975,6065247665,L
145,T2_mushroom_body,13924,34871.0,22891.0,35720.0,2403,2070611549,R
146,T2_mushroom_body,521358,56048.0,16920.0,34748.0,2220,2552799497,L
147,T2_mushroom_body,10069,37934.0,28418.0,25192.0,9619,10775374005,R
148,T2_mushroom_body,10995,37723.0,24091.0,37716.0,2365,3263196656,R
